pattern =  abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ_,+

G_GAN,G_L1,D_loss,

38.326,1015.938,-44.939,
54.827,966.336,-17.050,
49.824,477.443,-32.450,
43.775,446.820,-32.011,
39.368,804.861,-32.733,
30.725,719.774,-20.885,
28.261,729.152,-19.328,
23.532,432.430,-17.616,
24.656,373.556,-19.220,
22.345,388.202,-25.015,
19.899,310.662,-18.601,
15.892,653.787,-18.563,
16.383,333.744,-16.968,
18.712,643.999,-22.416,
8.809,763.001,-11.647,
21.990,645.040,-20.491,
21.215,288.924,-17.522,
19.979,277.923,-17.712,
10.525,336.205,-15.776,
10.617,280.360,-16.487,
31.039,357.068,-28.774,
10.892,287.184,-15.828,
12.209,253.870,-17.533,
16.747,590.776,-24.349,
17.559,445.940,-20.225,
8.919,256.071,-16.331,
5.615,682.079,-18.026,
8.327,837.468,-18.008,
4.629,291.205,-15.825,
21.656,593.552,-25.029,
3.732,360.763,-14.599,
12.257,639.644,-7.356,
10.578,623.975,-17.328,
16.922,685.083,-17.898,
46.873,423.399,-49.335,
20.803,570.504,-16.476,
21.363,300.327,-21.287,
22.297,287.515,-16.394,
14.756,229.641,-14.413,
9.737,252.935,-13.372,
32.368,561.526,-26.260,
14.697,654.914,-19.426,
11.881,374.197,-14.293,
11.576,299.936,-16.657,
14.105,299.132,-15.444,
7.177,608.847,-9.027,
7.577,569.718,-14.348,
14.937,622.483,-14.487,
19.694,646.877,-18.049,
11.637,583.675,-11.283,
9.535,289.152,-10.516,
12.237,570.784,-15.474,
6.100,380.874,-12.513,
10.077,645.484,-16.744,
16.991,629.577,-19.169,
-4.197,236.824,-9.685,
7.332,300.528,-11.784,
25.040,592.219,-21.891,
17.577,613.738,-17.976,
7.201,622.728,-10.512,
9.016,242.117,-12.616,
14.438,570.823,-16.656,
13.702,632.280,-17.648,
45.896,581.773,-42.210,
6.524,238.527,-12.970,
38.082,258.922,-31.022,
4.724,646.484,-10.478,
7.915,275.484,-13.900,
5.445,606.481,-15.619,
5.854,551.442,-14.659,
14.517,615.394,-20.269,
10.852,657.702,-15.176,
7.562,604.295,-14.886,
48.384,363.632,-37.538,
3.342,274.314,-9.844,
9.165,656.686,-10.734,
4.940,632.242,-6.761,
19.958,596.839,-18.907,
7.532,235.507,-14.447,
8.013,329.540,-12.815,
58.441,449.944,-58.009,
