G_GAN,G_L1,D_loss,

6.721,1153.386,-7.270,
10.698,2202.242,-1.410,
14.005,920.803,-2.040,
17.953,1082.334,-9.477,
19.324,2182.971,-4.068,
19.992,2363.619,-2.709,
22.200,822.527,-2.115,
22.933,2607.899,-2.097,
21.926,2395.833,-5.004,
26.174,2230.253,-1.633,
25.233,816.748,-2.593,
29.096,832.686,-3.645,
26.433,2191.969,-1.602,
25.664,547.967,-5.945,
28.904,1427.449,-5.748,
30.653,964.098,-3.197,
29.515,803.423,-2.187,
31.515,2554.236,-1.650,
30.179,734.687,-1.669,
30.672,510.471,-2.259,
32.133,2207.014,-2.585,
35.504,639.113,-6.560,
32.998,2189.802,-1.972,
34.101,2296.418,-4.827,
35.734,2111.496,-9.423,
37.664,2350.723,-2.150,
35.573,2220.400,-2.299,
38.145,648.777,-2.458,
34.389,2436.509,-2.757,
38.511,2273.389,-2.066,
33.085,781.180,-4.806,
43.518,2228.719,-2.313,
39.607,2366.156,-7.743,
39.628,2149.050,-4.050,
39.870,2466.218,-2.401,
39.397,2517.844,-2.085,
38.748,2245.435,-7.360,
40.282,1207.516,-5.077,
40.794,2287.328,-7.133,
39.151,2309.039,-3.710,
37.411,2515.046,-2.985,
35.499,745.075,-6.876,
43.423,2615.634,-3.260,
39.581,394.132,-1.874,
39.444,2452.327,-0.906,
39.601,2069.474,-3.602,
38.547,495.120,-1.450,
38.225,2177.076,-8.004,
30.174,607.048,-2.361,
33.667,510.762,-2.500,
29.341,704.909,-7.011,
29.021,520.814,-2.417,
27.378,2414.783,-3.593,
25.898,2375.291,-8.199,
23.029,2189.487,-2.991,
25.012,2102.849,-8.758,
19.613,963.001,-6.141,
21.780,677.405,-6.967,
19.182,623.904,-8.493,
18.392,2350.713,-2.545,
16.844,551.404,-4.097,
16.639,656.736,-2.703,
13.805,445.714,-3.830,
11.954,2370.623,-2.579,
8.117,2417.671,-2.005,
9.711,2190.080,-2.754,
7.295,2465.079,-6.088,
9.049,662.727,-2.333,
10.521,775.296,-7.700,
7.805,777.716,-3.828,
11.202,2323.183,-5.947,
10.415,535.247,-2.358,
11.000,1947.974,-7.870,
13.342,2427.188,-11.154,
10.997,577.387,-3.111,
12.276,569.842,-1.880,
5.518,2427.332,-2.693,
4.882,387.362,-1.943,
9.819,444.935,-2.852,
9.957,735.639,-2.111,
10.071,2069.679,-2.481,
8.857,2221.165,-6.672,
9.931,390.640,-1.679,
12.414,2545.315,-8.336,
8.115,577.228,-2.553,
8.757,662.429,-1.759,
8.037,489.304,-1.802,
11.452,2122.317,-3.570,
7.264,2517.763,-2.767,
11.653,2196.677,-2.106,
11.482,669.060,-3.319,
6.546,466.711,-1.870,
10.864,1082.891,-2.561,
13.056,2152.119,-2.548,
9.155,618.489,-5.559,
9.209,2274.473,-2.085,
9.204,647.653,-2.319,
8.898,566.194,-2.592,
12.065,2090.031,-2.435,
8.938,520.390,-2.166,
7.674,1093.276,-3.404,
7.769,2251.460,-8.822,
6.381,2137.495,-1.868,
4.980,2229.192,-1.777,
8.733,681.997,-2.296,
4.137,538.740,-2.751,
9.180,906.117,-3.132,
8.401,2394.377,-4.961,
9.576,2473.957,-2.819,
9.978,837.603,-2.030,
9.651,2494.919,-2.094,
10.002,2337.500,-5.071,
6.866,2351.003,-2.259,
11.829,2694.485,-2.487,
8.652,649.511,-7.024,
9.204,2222.707,-2.545,
10.537,2452.675,-3.285,
9.796,455.594,-2.290,
10.802,2631.687,-3.798,
9.618,2089.538,-7.754,
11.227,2223.390,-9.505,
9.711,627.879,-6.586,
8.577,2191.339,-2.657,
9.872,2290.809,-2.553,
10.361,540.001,-2.348,
9.909,670.200,-3.412,
5.337,2192.172,-2.593,
11.279,2101.853,-2.799,
10.460,519.681,-2.888,
8.666,2304.169,-7.030,
9.799,2539.104,-2.591,
10.167,2627.379,-2.780,
8.107,679.277,-5.404,
10.054,2273.656,-2.850,
10.103,486.165,-2.438,
10.358,472.993,-2.046,
8.874,452.270,-1.759,
9.071,627.368,-3.567,
9.015,676.227,-6.493,
9.162,549.438,-2.200,
9.851,2707.333,-3.375,
8.638,2350.740,-7.605,
9.798,2503.102,-7.310,
8.977,600.671,-3.659,
8.915,572.040,-7.893,
9.011,2155.071,-7.966,
10.288,2397.685,-2.197,
10.876,2201.007,-3.783,
9.516,2151.332,-2.296,
9.921,2300.539,-3.113,
10.130,2293.366,-3.138,
9.047,463.551,-2.020,
10.299,1891.279,-4.272,
9.265,2044.247,-2.748,
9.395,542.911,-2.471,
9.510,2464.340,-2.882,
8.880,539.009,-2.585,
9.882,445.645,-2.117,
9.817,1966.405,-7.054,
11.159,2116.547,-7.085,
11.148,2038.675,-8.324,
8.471,773.961,-5.936,
5.361,743.043,-6.977,
9.628,897.410,-3.255,
9.735,947.131,-2.950,
9.625,570.282,-2.650,
10.181,2077.996,-6.465,
9.696,2246.257,-2.791,
8.032,617.970,-6.181,
10.232,2133.792,-2.483,
8.664,2277.005,-2.763,
9.440,2172.822,-2.797,
11.069,472.450,-1.893,
8.371,1232.374,-4.736,
10.269,2272.266,-3.512,
8.239,578.435,-4.535,
8.845,2455.128,-5.435,
9.674,2453.708,-2.657,
10.510,2207.287,-7.864,
6.082,630.247,-6.034,
9.894,2206.536,-3.549,
8.055,537.504,-7.778,
7.743,2539.826,-6.488,
7.626,526.497,-2.563,
9.209,2479.726,-8.206,
5.774,477.872,-5.075,
7.802,475.137,-2.465,
8.557,328.019,-2.534,
10.761,2141.749,-6.188,
8.825,2023.191,-2.992,
9.345,2256.088,-2.810,
7.820,606.921,-3.197,
9.135,2118.550,-1.822,
7.439,2325.523,-2.396,
7.746,1290.285,-2.369,
7.805,2259.199,-4.885,
8.606,1891.281,-2.925,
8.153,410.298,-1.833,
9.347,2583.203,-3.417,
8.878,2485.359,-5.916,
7.618,575.609,-6.614,
8.026,2028.052,-7.488,
5.846,614.791,-6.722,
7.884,2190.837,-6.695,
8.906,2252.272,-3.860,
7.924,454.628,-2.710,
8.789,2224.875,-7.746,
8.717,2070.735,-3.500,
10.301,2319.334,-5.246,
8.485,696.092,-3.157,
7.938,959.084,-2.527,
8.322,2317.115,-7.456,
8.962,595.430,-6.165,
10.139,1996.578,-4.042,
8.153,530.730,-5.284,
8.475,2323.745,-3.133,
8.275,434.122,-1.701,
7.752,437.293,-1.587,
8.641,2413.802,-5.797,
8.507,2212.976,-3.490,
7.938,546.078,-6.341,
9.168,2181.512,-4.091,
7.893,2368.838,-2.854,
6.911,567.841,-3.932,
7.729,2156.921,-7.847,
8.108,413.106,-2.034,
8.791,676.062,-3.663,
8.577,935.840,-2.733,
8.429,529.096,-4.256,
8.122,610.530,-2.621,
8.494,2104.075,-2.865,
8.621,441.260,-1.707,
8.510,447.091,-1.453,
9.284,601.952,-2.487,
8.119,875.250,-7.372,
8.085,577.739,-5.654,
8.480,2279.023,-6.776,
9.073,2275.954,-2.651,
8.247,388.106,-2.055,
9.132,468.063,-2.393,
60.866,1269.734,-73.941,
84.530,2549.983,-94.647,
90.616,1047.276,-97.443,
109.789,913.701,-72.428,
129.215,628.099,-127.177,
126.792,822.925,-97.933,
112.311,2352.694,-132.515,
127.444,676.907,-105.881,
125.376,1233.631,-97.223,
111.588,2573.507,-86.915,
98.523,2202.376,-64.729,
58.666,1339.147,-47.343,
35.778,2493.344,-18.768,
54.414,594.759,-1.105,
71.341,2061.712,-4.328,
83.504,2057.804,-3.668,
81.467,812.398,-1.450,
84.466,2293.309,-1.490,
88.952,2304.512,-3.507,
91.697,570.710,-6.481,
94.483,669.554,-1.709,
96.078,2445.981,-2.095,
99.343,703.741,-2.075,
108.317,682.230,-5.103,
109.576,652.210,-5.831,
109.978,592.766,-6.373,
112.259,566.125,-6.361,
111.129,632.345,-6.151,
117.763,2162.433,-2.867,
118.789,527.298,-2.336,
113.587,2260.178,-3.329,
116.301,2098.837,-1.504,
118.479,2115.016,-2.516,
120.873,2358.928,-3.637,
116.584,2489.153,-2.526,
