G_GAN,G_L1,D_loss,G_GAN_ma,G_L1_ma,D_loss_ma
,,,,,
6.05,1660.556,-3.589,6.05,1660.556,-3.589
14.242,930.154,-2.728,6.4596,1624.0359,-3.54595
16.241,2324.444,-2.26,6.94867,1659.056305,-3.4816525
15.946,2442.521,-5.065,7.3985365,1698.22954,-3.560819875
19.413,2424.326,-6.231,7.999259675,1734.534363,-3.694328881
19.404,2238.741,-6.153,8.569496691,1759.744695,-3.817262437
21.998,618.395,-1.69,9.240921857,1702.67721,-3.710899315
26.34,763.271,-6.093,10.09587576,1655.706899,-3.83000435
24.644,910.528,-2.146,10.82328198,1618.447954,-3.745804132
25.568,2432.278,-6.317,11.56051788,1659.139457,-3.874363925
25.869,525.013,-1.865,12.27594198,1602.433134,-3.773895729
29.062,754.373,-2.753,13.11524488,1560.030127,-3.722850943
32.495,724.691,-1.502,14.08423264,1518.263171,-3.611808396
32.675,768.274,-8.352,15.01377101,1480.763712,-3.848817976
30.524,2232.986,-2.752,15.78928246,1518.374827,-3.793977077
33.306,2570.769,-2.175,16.66511833,1570.994535,-3.713028223
31.458,2296.757,-1.712,17.40476242,1607.282659,-3.612976812
33.113,705.704,-5.83,18.1901743,1562.203726,-3.723827971
30.98,518.428,-1.735,18.82966558,1510.014939,-3.624386573
35.337,648.506,-1.937,19.6550323,1466.939492,-3.540017244
32.122,572.053,-1.963,20.27838069,1422.195168,-3.461166382
34.603,2195.417,-3.508,20.99461165,1460.856259,-3.463508063
36.346,2394.662,-6.4,21.76218107,1507.546546,-3.61033266
34.627,2217.49,-2.208,22.40542202,1543.043719,-3.540216027
37.478,2639.644,-6.512,23.15905092,1597.873733,-3.688805225
37.941,612.136,-2.09,23.89814837,1548.586846,-3.608864964
37.241,2604.933,-2.581,24.56529095,1601.404154,-3.557471716
34.818,2561.876,-3.096,25.0779264,1649.427746,-3.53439813
39.528,721.467,-2.049,25.80043008,1603.029709,-3.460128224
36.144,2325.043,-5.981,26.31760858,1639.130374,-3.586171812
38.814,529.045,-2.053,26.94242815,1583.626105,-3.509513222
37.523,620.326,-5.988,27.47145674,1535.4611,-3.633437561
38.135,701.361,-7.18,28.00463391,1493.756095,-3.810765683
37.896,671.256,-5.735,28.49920221,1452.63109,-3.906977399
41.129,2244.923,-1.573,29.1306921,1492.245686,-3.790278529
38.591,2517.979,-4.304,29.6037075,1543.532351,-3.815964602
45.002,2238.19,-7.706,30.37362212,1578.265234,-4.010466372
36.026,1746.685,-3.85,30.65624101,1586.686222,-4.002443053
39.37,631.525,-7.346,31.09192896,1538.928161,-4.169620901
36.49,1923.827,-7.514,31.36183252,1558.173103,-4.336839856
34.396,2413.326,-6.861,31.51354089,1600.930748,-4.463047863
36.204,2306.097,-9.191,31.74806385,1636.18906,-4.69944547
36.004,547.225,-2.049,31.96086065,1581.740857,-4.566923196
35.222,539.472,-3.15,32.12391762,1529.627414,-4.496077037
35.977,2447.447,-3.841,32.31657174,1575.518394,-4.463323185
34.534,2314.479,-2.812,32.42744315,1612.466424,-4.380757025
31.165,2455.95,-7.373,32.36432099,1654.640603,-4.530369174
32.132,536.143,-2.399,32.35270495,1598.715723,-4.423800715
33.072,696.543,-7.092,32.3886697,1553.607087,-4.55721068
28.577,553.809,-6.009,32.19808621,1503.617182,-4.629800146
25.095,519.615,-4.827,31.8429319,1454.417073,-4.639660138
23.572,2546.15,-8.002,31.42938531,1509.003719,-4.807777132
19.862,2370.079,-5.392,30.85101604,1552.057483,-4.836988275
20.443,588.726,-2.181,30.33061524,1503.890909,-4.704188861
18.272,511.327,-2.045,29.72768448,1454.262714,-4.571229418
15.945,2761.142,-6.824,29.03855025,1519.606678,-4.683867947
16.149,436.328,-2.506,28.39407274,1465.442744,-4.57497455
11.369,2258.616,-5.156,27.5428191,1505.101407,-4.604025822
13.469,2334.714,-6.229,26.83912815,1546.582037,-4.685274531
8.442,662.807,-5.607,25.91927174,1502.393285,-4.731360805
12.278,531.582,-3.555,25.23720815,1453.852721,-4.672542764
7.402,2287.706,-2.416,24.34544775,1495.545385,-4.559715626
9.565,2220.105,-7.752,23.60642536,1531.773365,-4.719329845
6.029,495.111,-2.483,22.72755409,1479.940247,-4.607513353
11.396,635.071,-8.796,22.16097639,1437.696785,-4.816937685
12.486,1168.815,-2.923,21.67722757,1424.252695,-4.722240801
7.048,1161.109,-2.482,20.94576619,1411.095511,-4.610228761
7.569,611.698,-3.688,20.27692788,1371.125635,-4.564117323
7.392,519.303,-5.486,19.63268149,1328.534503,-4.610211457
5.793,2200.993,-3.518,18.94069741,1372.157428,-4.555600884
11.562,2732.292,-10.715,18.57176254,1440.164157,-4.86357084
10.26,529.55,-2.674,18.15617441,1394.633449,-4.754092298
9.698,2278.744,-2.535,17.73326569,1438.838977,-4.643137683
9.63,2298.129,-3.012,17.32810241,1481.803478,-4.561580799
11.027,2431.502,-8.396,17.01304729,1529.288404,-4.753301759
8.979,2267.901,-4.986,16.61134492,1566.219034,-4.764936671
9.841,2070.204,-4.762,16.27282768,1591.418282,-4.764789837
5.782,741.63,-6.568,15.74828629,1548.928868,-4.854950345
9.511,600.028,-2.433,15.43642198,1501.483824,-4.733852828
7.547,496.148,-1.945,15.04195088,1451.217033,-4.594410187
10.046,692.59,-4.863,14.79215334,1413.285682,-4.607839677
11.132,511.075,-1.376,14.60914567,1368.175148,-4.446247693
6.795,596.703,-6.474,14.21843839,1329.60154,-4.547635309
10.376,479.406,-6.139,14.02631647,1287.091763,-4.627203543
9.708,2065.97,-3.035,13.81040064,1326.035675,-4.547593366
7.32,2377.881,-3.649,13.48588061,1378.627941,-4.502663698
8.748,2187.387,-2.813,13.24898658,1419.065894,-4.418180513
8.436,2210.185,-3.546,13.00833725,1458.621849,-4.374571487
8.109,2188.429,-3.405,12.76337039,1495.112207,-4.326092913
9.047,2520.526,-2.858,12.57755187,1546.382897,-4.252688267
4.778,2085.874,-3.674,12.18757428,1573.357452,-4.223753854
7.431,514.469,-2.139,11.94974556,1520.413029,-4.119516161
9.312,915.104,-2.355,11.81785828,1490.147578,-4.031290353
6.355,379.1,-2.204,11.54471537,1434.595199,-3.939925836
6.801,683.938,-6.181,11.3075296,1397.062339,-4.051979544
9.03,2172.325,-2.372,11.19365312,1435.825472,-3.967980567
10.501,2126.345,-3.31,11.15902047,1470.351448,-3.935081538
9.302,2252.855,-3.794,11.06616944,1509.476626,-3.928027461
8.675,2337.796,-3.146,10.94661097,1550.892595,-3.888926088
8.266,1025.86,-2.58,10.81258042,1524.640965,-3.823479784
9.438,2191.749,-3.179,10.7438514,1557.996367,-3.791255795
5.806,511.155,-2.098,10.49695883,1505.654298,-3.706593005
9.302,2213.254,-2.803,10.43721089,1541.034283,-3.661413355
9.019,465.949,-2.6,10.36630034,1487.280019,-3.608342687
8.41,2168.557,-2.32,10.26848533,1521.343868,-3.543925553
7.104,550.731,-6.311,10.11026106,1472.813225,-3.682279275
9.593,2397.744,-8.026,10.08439801,1519.059764,-3.899465311
9.019,2587.233,-2.6,10.03112811,1572.468425,-3.834492046
7.974,419.043,-1.465,9.928271702,1514.797154,-3.716017443
8.963,548.678,-7.164,9.880008117,1466.491196,-3.888416571
10.412,955.602,-3.37,9.906607711,1440.946737,-3.862495743
9.299,570.551,-2.737,9.876227325,1397.42695,-3.806220956
8.843,647.264,-2.839,9.824565959,1359.918802,-3.757859908
